epoch,loss,val_loss,lr,train.batch_size,train.epoch_size,train.crop_shape,val.batch_size,val.epoch_size,val.crop_shape,seconds
0,0.6564903259277344,0.6500696539878845,9.999999747378752e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",263.5451753139496
1,0.5745505690574646,0.3330208361148834,0.00014677993021905422,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",56.51215696334839
2,0.29856592416763306,0.30252984166145325,0.00021544346236623824,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",57.97688555717468
3,0.29725000262260437,0.30252939462661743,0.0003162277571391314,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",57.24980425834656
4,0.29856961965560913,0.30252936482429504,0.00046415888937190175,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",57.42662310600281
5,0.2988542914390564,0.30252936482429504,0.0006812920910306275,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",56.78465008735657
6,0.29850637912750244,0.30252939462661743,0.0010000000474974513,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",56.34982419013977
7,0.2978578805923462,0.30252939462661743,0.0014677993021905422,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",56.95952558517456
8,0.2919948697090149,0.30252936482429504,0.002154434798285365,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",56.68333292007446
9,0.29925936460494995,0.30252936482429504,0.003162277629598975,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",56.665419816970825
10,0.2974761128425598,0.30252936482429504,0.004641588777303696,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",56.37804388999939
11,0.2998204231262207,0.30252936482429504,0.006812920793890953,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",55.77790451049805
12,0.2963055670261383,0.30252936482429504,0.009999999776482582,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",56.456058502197266
13,0.2975219190120697,0.30252933502197266,0.009999999776482582,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",56.82991361618042
14,0.2983681261539459,0.30252936482429504,0.008912509307265282,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",56.493189573287964
15,0.295584499835968,0.30252939462661743,0.007943281903862953,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",56.075618743896484
16,0.2972382605075836,0.30252939462661743,0.007079457864165306,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",56.01603603363037
17,0.294452041387558,0.30252939462661743,0.0063095735386013985,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",56.76524639129639
18,0.2998175024986267,0.30252939462661743,0.005623413249850273,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",56.486860036849976
19,0.29613053798675537,0.30252939462661743,0.005011872388422489,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",55.86308288574219
20,0.2954484522342682,0.30252939462661743,0.004466835875064135,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",56.36961650848389
21,0.29887038469314575,0.30252939462661743,0.003981071524322033,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",56.59642839431763
22,0.29893574118614197,0.30252939462661743,0.003548133885487914,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",55.912883281707764
