class/average,accuracy,precision,recall,f1,roc-auc,jaccard,tp,fp,fn,tn,support,npred
matrix,0.9886911932938856,0.992198555052752,0.9940982543850757,0.9931474962802717,0.9991489207102584,0.9863882670114791,332390960.0,2613519.0,1973333.0,68622188.0,334364293.0,335004479.0
fiber,0.9910872435897435,0.9750346182350946,0.9725968277949357,0.9738141973613187,0.9995175440357804,0.9489647925914615,67218714.0,1721109.0,1893905.0,334766272.0,69112619.0,68939823.0
porosity,0.9976039250493096,0.847660020124443,0.6610507901697904,0.7428147558501593,0.997958286579215,0.5908554521354413,1403469.0,252229.0,719619.0,403224683.0,2123088.0,1655698.0
macro,0.9924607873109795,0.9382977311374298,0.8759152907832672,0.9032588164972499,0.9988749171084179,0.842069503912794,,,,,,
micro,0.9886911809664695,0.9886911809664695,0.9886911809664695,0.9886911809664695,,,401013143.0,4586857.0,4586857.0,806613143.0,,
