class/average,accuracy,precision,recall,f1,roc-auc,jaccard,tp,fp,fn,tn,support,npred
matrix,0.9897406582840237,0.9931030259408341,0.9944613314317029,0.9937817145519123,0.9993594292576085,0.9876402853376521,332512360.0,2309256.0,1851933.0,68926451.0,334364293.0,334821616.0
fiber,0.9918054709072979,0.9778934019407484,0.973925818091194,0.9759055774392239,0.9996018847610042,0.9529449198629022,67310564.0,1521646.0,1802055.0,334965735.0,69112619.0,68832210.0
porosity,0.9979351528599606,0.8302854729330471,0.761098927599798,0.7941882336403997,0.9988785629988303,0.658633673842883,1615880.0,330294.0,507208.0,403146618.0,2123088.0,1946174.0
macro,0.9931604273504274,0.9337606336048765,0.9098286923742317,0.9212918418771786,0.9992799590058143,0.866406293014479,,,,,,
micro,0.9897406410256411,0.9897406410256411,0.9897406410256411,0.9897406410256411,,,401438804.0,4161196.0,4161196.0,807038804.0,,
