class/average,accuracy,precision,recall,f1,roc-auc,jaccard,tp,fp,fn,tn,support,npred
matrix,0.9894598693293886,0.9928142763187082,0.9944115982504148,0.9936122953249871,0.9992449226189872,0.9873056782285001,332495731.0,2406515.0,1868562.0,68829192.0,334364293.0,334902246.0
fiber,0.9915342504930966,0.9763258639296911,0.9739333275736519,0.9751281281954001,0.9995455191284253,0.9514634512101393,67311083.0,1632172.0,1801536.0,334855209.0,69112619.0,68943255.0
porosity,0.9979254758382643,0.8652498519520387,0.7150339505475044,0.7830024187722932,0.9982099538356713,0.6433886400845601,1518080.0,236419.0,605008.0,403240493.0,2123088.0,1754499.0
macro,0.9929731985535831,0.9447966640668127,0.8944596254571904,0.9172476140975601,0.999000131861028,0.8607192565077332,,,,,,
micro,0.9894597978303747,0.9894597978303747,0.9894597978303747,0.9894597978303747,,,401324894.0,4275106.0,4275106.0,806924894.0,,
