class/average,accuracy,precision,recall,f1,roc-auc,jaccard,tp,fp,fn,tn,support,npred
matrix,0.9892449038461538,0.9937129748960043,0.9932375673858214,0.9934752142667491,0.9992883232729992,0.9870350222354484,332103177.0,2101151.0,2261116.0,69134556.0,334364293.0,334204328.0
fiber,0.9914061094674557,0.9729280414363969,0.976743306457537,0.9748319409467366,0.9995611615559165,0.9508996425883461,67505288.0,1878351.0,1607331.0,334609030.0,69112619.0,69383639.0
porosity,0.9978386267258382,0.8097451681955514,0.7673888223191879,0.7879982230266055,0.9987592215894263,0.6501625971163105,1629234.0,382799.0,493854.0,403094113.0,2123088.0,2012033.0
macro,0.9928298800131493,0.9254620615093175,0.9124565653875155,0.9187684594133638,0.9992029021394474,0.8626990873133683,,,,,,
micro,0.9892448200197239,0.9892448200197239,0.9892448200197239,0.9892448200197239,,,401237699.0,4362301.0,4362301.0,806837699.0,,
