epoch,loss,val_loss,lr,train.batch_size,train.epoch_size,train.crop_shape,val.batch_size,val.epoch_size,val.crop_shape,seconds
0,0.7019244432449341,0.6462706327438354,9.999999747378752e-06,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",403.2246959209442
1,0.5929495692253113,0.6086645126342773,1.1787686162278987e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",163.34037065505981
2,0.5014436841011047,0.5886502265930176,1.3894955372961704e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",164.10863709449768
3,0.4173257350921631,0.5661041140556335,1.6378937289118767e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",163.72448563575745
4,0.34192895889282227,0.5309438109397888,1.9306977264932357e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",163.70877075195312
5,0.27508363127708435,0.523922324180603,2.275845872645732e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",163.0269103050232
6,0.22215589880943298,0.5338091850280762,2.682695776456967e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",160.07912158966064
7,0.17686381936073303,0.5438789129257202,3.162277789670043e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",160.15395784378052
8,0.14277496933937073,0.5405293703079224,3.7275938666425645e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",160.44907784461975
9,0.11424906551837921,0.49321460723876953,4.393970448290929e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",163.33186531066895
10,0.09193218499422073,0.42355096340179443,5.179474828764796e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",163.13579440116882
11,0.07780518382787704,0.37320318818092346,6.105402280809358e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",163.30496382713318
12,0.06609421968460083,0.33634379506111145,7.196857040980831e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",163.33227586746216
13,0.05850769206881523,0.3182809352874756,8.483428973704576e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",163.8086166381836
14,0.05330700799822807,0.28730401396751404,9.999999747378752e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",163.5783495903015
15,0.047895245254039764,0.2754521667957306,0.00011787686526076868,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",163.04595017433167
16,0.04377574473619461,0.2753240466117859,0.00013894954463467002,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",163.8491530418396
17,0.0406239777803421,0.2710588574409485,0.00016378937289118767,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",164.0894422531128
18,0.03828427195549011,0.26582494378089905,0.00019306977628730237,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",163.54993319511414
19,0.03486866503953934,0.25963419675827026,0.000227584590902552,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",163.4702033996582
20,0.0331474207341671,0.2620234191417694,0.00026826959219761193,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",160.37527179718018
21,0.030630096793174744,0.24953430891036987,0.0003162277571391314,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",163.02985310554504
22,0.02947067841887474,0.2415105700492859,0.000372759357560426,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",163.85545992851257
23,0.027636568993330002,0.21785740554332733,0.00043939705938100815,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",163.07470774650574
24,0.026253264397382736,0.19014470279216766,0.0005179474828764796,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",163.8255376815796
25,0.024419259279966354,0.18087704479694366,0.0006105402135290205,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",163.4953920841217
26,0.023723289370536804,0.19006404280662537,0.0007196856895461679,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",160.72388553619385
27,0.022386129945516586,0.16208957135677338,0.0008483428973704576,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",163.67004942893982
28,0.021922361105680466,0.13510499894618988,0.0010000000474974513,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",163.2841193675995
29,0.020927369594573975,0.10423456132411957,0.0010000000474974513,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",163.85236239433289
30,0.02026945725083351,0.08183735609054565,0.0009182542562484741,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",164.09087991714478
31,0.018969589844346046,0.08536779135465622,0.0008431909373030066,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",161.0178050994873
32,0.019214872270822525,0.08411739021539688,0.0007742636953480542,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",160.27920150756836
33,0.018762171268463135,0.07778894156217575,0.0007109709549695253,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",163.79193997383118
34,0.018760904669761658,0.07403834164142609,0.0006528521189466119,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",163.55723428726196
35,0.0189958568662405,0.07463584095239639,0.0005994842504151165,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",161.19709634780884
36,0.01802835799753666,0.06740737706422806,0.0005504789878614247,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",164.03966450691223
37,0.018138250336050987,0.06574264168739319,0.0005054796929471195,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",163.68765687942505
38,0.018156886100769043,0.06462255865335464,0.00046415888937190175,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",164.05697083473206
39,0.018101414665579796,0.06066880375146866,0.00042621587635949254,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",164.27554416656494
40,0.017965709790587425,0.05594244599342346,0.0003913745458703488,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",164.05743622779846
41,0.01782568357884884,0.052350323647260666,0.00035938137443736196,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",164.6865997314453
42,0.017907440662384033,0.05111146718263626,0.0003300034732092172,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",164.197692155838
43,0.017937500029802322,0.045444902032613754,0.00030302710365504026,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",164.28140687942505
44,0.01756681501865387,0.04366238787770271,0.00027825593133457005,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",163.87200951576233
45,0.017758652567863464,0.03978678211569786,0.000255509716225788,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",164.44545936584473
46,0.017489999532699585,0.04035363346338272,0.00023462288663722575,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",160.80277013778687
