class/average,accuracy,precision,recall,f1,roc-auc,jaccard,tp,fp,fn,tn,support,npred
matrix,0.9896794871794872,0.9930974335727433,0.9943922869778442,0.9937444384755422,0.9993312696920121,0.9875666545087597,332489274.0,2310981.0,1875019.0,68924726.0,334364293.0,334800255.0
fiber,0.9917732864891519,0.9765677798071462,0.9751174528634199,0.9758420774552914,0.9995980958046815,0.9528238330965916,67392921.0,1617057.0,1719698.0,334870324.0,69112619.0,69009978.0
porosity,0.9979061513806706,0.8558628022530307,0.7214938806116374,0.7829551567844962,0.9986068380994252,0.6433248217180584,1531795.0,257972.0,591293.0,403218940.0,2123088.0,1789767.0
macro,0.9931196416831032,0.94184267187764,0.897001206817634,0.91751389090511,0.9991787345320396,0.8612384364411366,,,,,,
micro,0.9896794625246549,0.9896794625246549,0.9896794625246549,0.9896794625246549,,,401413990.0,4186010.0,4186010.0,807013990.0,,
