class/average,accuracy,precision,recall,f1,roc-auc,jaccard,tp,fp,fn,tn,support,npred
matrix,0.9886884171597633,0.9921848418216088,0.9941088177139776,0.9931458979611552,0.9991489722403538,0.98638511374197,332394492.0,2618177.0,1969801.0,68617530.0,334364293.0,335012669.0
fiber,0.9910869156804734,0.9750727056120045,0.9725548672956527,0.97381215895844,0.9995173210443347,0.9489609211994173,67215814.0,1718342.0,1896805.0,334769039.0,69112619.0,68934156.0
porosity,0.9976014768244575,0.8478902717498148,0.6602227510117339,0.7423799666495686,0.9979689544186072,0.5903054555132926,1401711.0,251464.0,721377.0,403225448.0,2123088.0,1653175.0
macro,0.9924589365548981,0.9383826063944761,0.8756288120071214,0.9031126745230545,0.9988784159010985,0.84188383015156,,,,,,
micro,0.9886884048323471,0.9886884048323471,0.9886884048323471,0.9886884048323471,,,401012017.0,4587983.0,4587983.0,806612017.0,,
