class/average,accuracy,precision,recall,f1,roc-auc,jaccard,tp,fp,fn,tn,support,npred
matrix,0.9886515113412229,0.9921959145720698,0.9940524241325015,0.9931233017297229,0.9991546727545533,0.9863405354755141,332375636.0,2614290.0,1988657.0,68621417.0,334364293.0,334989926.0
fiber,0.991097184418146,0.9751454920794936,0.9725403113431427,0.9738411593957308,0.9995188980051501,0.9490160010922575,67214808.0,1713171.0,1897811.0,334774210.0,69112619.0,68927979.0
porosity,0.9975543022682446,0.8362214975967469,0.6625274129004545,0.7393095154687699,0.997723780981562,0.5864322167416625,1406604.0,275491.0,716484.0,403201421.0,2123088.0,1682095.0
macro,0.9924343326758711,0.9345209680827701,0.8763733827920329,0.9020913255314079,0.9987991172470885,0.8405962511031447,,,,,,
micro,0.9886514990138067,0.9886514990138067,0.9886514990138067,0.9886514990138067,,,400997048.0,4602952.0,4602952.0,806597048.0,,
