loss,epochs
0.10349007695913315,0
0.025895480066537857,1
0.02201986312866211,2
0.019356710836291313,3
0.01777658239006996,4
0.01719743385910988,5
0.015703514218330383,6
0.014886352233588696,7
0.013757946901023388,8
0.013477994129061699,9
0.012730084359645844,10
0.012062122114002705,11
0.011884973384439945,12
0.011049490422010422,13
0.011553744785487652,14
0.010158510878682137,15
0.010258900932967663,16
0.009845121763646603,17
0.00995710864663124,18
0.009735910221934319,19
0.009844218380749226,20
0.009606591425836086,21
0.008771270513534546,22
0.009054107591509819,23
0.008555061183869839,24
0.00842552911490202,25
0.008742866106331348,26
0.007850255817174911,27
0.00749307731166482,28
0.007574176881462336,29
0.007352001033723354,30
0.007472532335668802,31
0.006864552851766348,32
0.007051076274365187,33
0.006901378743350506,34
0.007129113655537367,35
0.0073068710044026375,36
0.006528572645038366,37
0.0064503466710448265,38
0.006136971991509199,39
0.005656444933265448,40
0.0053380453027784824,41
0.005494553595781326,42
0.005500614643096924,43
0.005345397628843784,44
0.0047396342270076275,45
0.00496149156242609,46
0.0050095003098249435,47
0.0053819394670426846,48
0.004857251886278391,49
