epoch,loss
0,0.10349007695913315
1,0.025895480066537857
2,0.02201986312866211
3,0.019356710836291313
4,0.01777658239006996
5,0.01719743385910988
6,0.015703514218330383
7,0.014886352233588696
8,0.013757946901023388
9,0.013477994129061699
10,0.012730084359645844
11,0.012062122114002705
12,0.011884973384439945
13,0.011049490422010422
14,0.011553744785487652
15,0.010158510878682137
16,0.010258900932967663
17,0.009845121763646603
18,0.00995710864663124
19,0.009735910221934319
20,0.009844218380749226
21,0.009606591425836086
22,0.008771270513534546
23,0.009054107591509819
24,0.008555061183869839
25,0.00842552911490202
26,0.008742866106331348
27,0.007850255817174911
28,0.00749307731166482
29,0.007574176881462336
30,0.007352001033723354
31,0.007472532335668802
32,0.006864552851766348
33,0.007051076274365187
34,0.006901378743350506
35,0.007129113655537367
36,0.0073068710044026375
37,0.006528572645038366
38,0.0064503466710448265
39,0.006136971991509199
40,0.005656444933265448
41,0.0053380453027784824
42,0.005494553595781326
43,0.005500614643096924
44,0.005345397628843784
45,0.0047396342270076275
46,0.00496149156242609
47,0.0050095003098249435
48,0.0053819394670426846
49,0.004857251886278391
