epoch,loss,val_loss,lr,train.batch_size,train.epoch_size,train.crop_shape,val.batch_size,val.epoch_size,val.crop_shape,seconds
0,0.6084874868392944,0.5656325221061707,9.999999747378752e-06,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",282.65942907333374
1,0.5302907228469849,0.48709341883659363,9.999999747378752e-06,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",74.54818224906921
2,0.44201335310935974,0.3929664194583893,9.999999747378752e-06,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",75.46337056159973
3,0.3549811840057373,0.3300311267375946,9.999999747378752e-06,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",75.299733877182
4,0.314445436000824,0.313689649105072,9.999999747378752e-06,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",75.27819919586182
5,0.30754193663597107,0.30942317843437195,9.999999747378752e-06,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",75.44486594200134
6,0.30365338921546936,0.3073623478412628,9.999999747378752e-06,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",74.91884803771973
7,0.29902273416519165,0.30632728338241577,9.999999747378752e-06,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",75.59547090530396
8,0.29743334650993347,0.3055422008037567,9.999999747378752e-06,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",74.9319326877594
9,0.300955593585968,0.30477479100227356,9.999999747378752e-06,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",75.39774870872498
10,0.2993084490299225,0.30390599370002747,9.999999747378752e-06,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",75.40328693389893
11,0.298299640417099,0.30268558859825134,1.1158839697600342e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",75.56366109848022
12,0.29533857107162476,0.30080175399780273,1.2451971088012215e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",75.3165009021759
13,0.29563283920288086,0.2971286475658417,1.3894955372961704e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",75.32572865486145
14,0.2873145043849945,0.28802984952926636,1.550515844428446e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",75.22389674186707
15,0.2723550498485565,0.2666383981704712,1.7301957996096462e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",75.49101972579956
16,0.2486741542816162,0.23155492544174194,1.9306977264932357e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",75.51035857200623
17,0.20989708602428436,0.19124707579612732,2.1544346964219585e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",75.37813568115234
18,0.17540311813354492,0.1529480516910553,2.4040991775109433e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",75.5683240890503
19,0.1368512213230133,0.12042185664176941,2.682695776456967e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",75.11039280891418
20,0.11135957390069962,0.10157613456249237,2.9935772545286454e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",75.49496746063232
21,0.1002117171883583,0.09166460484266281,3.340484909131192e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",75.54313373565674
22,0.09092752635478973,0.08415892720222473,3.7275938666425645e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",75.7157051563263
23,0.08339905738830566,0.08211252838373184,4.159562013228424e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",75.40149140357971
24,0.07667173445224762,0.07510886341333389,4.641588748199865e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",75.11714315414429
25,0.06856132298707962,0.07227850705385208,5.179474828764796e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",75.70971274375916
26,0.06731779873371124,0.06663084030151367,5.7796929468167946e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",75.48564219474792
27,0.060956574976444244,0.05977316573262215,6.449467036873102e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",75.9005811214447
28,0.05975235626101494,0.05687624588608742,7.196857040980831e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",76.13820481300354
29,0.05447261407971382,0.05573412403464317,8.030857134144753e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",75.9416913986206
30,0.06566877663135529,0.06013858690857887,8.961505227489397e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",74.53788352012634
31,0.05190297216176987,0.05159907788038254,9.999999747378752e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",75.51396632194519
32,0.05035807937383652,0.05087463557720184,9.999999747378752e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",75.57661008834839
33,0.047416724264621735,0.04652431607246399,9.453872917219996e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",75.13391971588135
34,0.044818758964538574,0.045556675642728806,8.93757096491754e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",75.9208025932312
35,0.043436117470264435,0.04276074096560478,8.449466258753091e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",75.49351572990417
36,0.04095699265599251,0.04208230972290039,7.988017750903964e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",75.58368015289307
37,0.039602600038051605,0.040567558258771896,7.551770249847323e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",76.40351128578186
38,0.03881141543388367,0.039614442735910416,7.139347871998325e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",75.60165810585022
39,0.03852614015340805,0.03887549042701721,6.749448220944032e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",75.76929783821106
40,0.037460703402757645,0.03823031857609749,6.38084311503917e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",76.38520860671997
41,0.03668277710676193,0.03765811026096344,6.0323676734697074e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",75.6394190788269
42,0.03655087947845459,0.03744768723845482,5.702923590433784e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",76.04522347450256
43,0.03569953888654709,0.037275247275829315,5.391471495386213e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",75.73562145233154
