class/average,accuracy,precision,recall,f1,roc-auc,jaccard,tp,fp,fn,tn,support,npred
matrix,0.9899687450690335,0.9935316757525515,0.9943049630601555,0.9939181689983048,0.9993867142185616,0.9879098681353983,332460076.0,2164460.0,1904217.0,69071247.0,334364293.0,334624536.0
fiber,0.9919189151873767,0.9763670605714214,0.9762036654984816,0.9762853561983361,0.9996149900617144,0.9536694254688061,67467992.0,1633061.0,1644627.0,334854320.0,69112619.0,69101053.0
porosity,0.998049790433925,0.8553337555103977,0.7551486325578591,0.8021250286741786,0.9989888674972054,0.6696233312115851,1603247.0,271164.0,519841.0,403205748.0,2123088.0,1874411.0
macro,0.9933124835634451,0.9417441639447902,0.9085524203721654,0.9241095179569397,0.9993301905924938,0.8704008749385966,,,,,,
micro,0.9899687253451677,0.9899687253451677,0.9899687253451677,0.9899687253451677,,,401531315.0,4068685.0,4068685.0,807131315.0,,
