epoch,loss,val_loss,lr,train.batch_size,train.epoch_size,train.crop_shape,val.batch_size,val.epoch_size,val.crop_shape,seconds
0,0.318667471408844,0.6664305925369263,9.999999747378752e-05,16,10,"(48, 48, 48, 1)",16,1575,"(48, 48, 48, 1)",427.99574041366577
1,0.14373290538787842,0.664439857006073,0.00012915497063659132,16,10,"(48, 48, 48, 1)",16,1575,"(48, 48, 48, 1)",276.6194877624512
2,0.08956010639667511,0.6097544431686401,0.00016681005945429206,16,10,"(48, 48, 48, 1)",16,1575,"(48, 48, 48, 1)",277.49785256385803
3,0.06266403198242188,0.5002921223640442,0.00021544346236623824,16,10,"(48, 48, 48, 1)",16,1575,"(48, 48, 48, 1)",278.09681725502014
4,0.05010470002889633,0.3870570659637451,0.00027825593133457005,16,10,"(48, 48, 48, 1)",16,1575,"(48, 48, 48, 1)",277.57608819007874
5,0.043813422322273254,0.2935962378978729,0.00035938137443736196,16,10,"(48, 48, 48, 1)",16,1575,"(48, 48, 48, 1)",276.91677832603455
6,0.03674916923046112,0.22414720058441162,0.00046415888937190175,16,10,"(48, 48, 48, 1)",16,1575,"(48, 48, 48, 1)",278.10835552215576
7,0.0355229489505291,0.1748906373977661,0.0005994842504151165,16,10,"(48, 48, 48, 1)",16,1575,"(48, 48, 48, 1)",276.8843321800232
8,0.03300537168979645,0.1435234397649765,0.0007742636953480542,16,10,"(48, 48, 48, 1)",16,1575,"(48, 48, 48, 1)",276.96992349624634
9,0.0301705002784729,0.12717410922050476,0.0010000000474974513,16,10,"(48, 48, 48, 1)",16,1575,"(48, 48, 48, 1)",277.6737847328186
10,0.027693867683410645,0.11603850871324539,0.0010000000474974513,16,10,"(48, 48, 48, 1)",16,1575,"(48, 48, 48, 1)",277.61385202407837
11,0.025650879368185997,0.11178848147392273,0.0010000000474974513,16,10,"(48, 48, 48, 1)",16,1575,"(48, 48, 48, 1)",276.3961958885193
12,0.024904828518629074,0.10821058601140976,0.0010000000474974513,16,10,"(48, 48, 48, 1)",16,1575,"(48, 48, 48, 1)",276.2611474990845
13,0.02471260353922844,0.09783446043729782,0.0010000000474974513,16,10,"(48, 48, 48, 1)",16,1575,"(48, 48, 48, 1)",276.31918001174927
14,0.025326192378997803,0.09740391373634338,0.0010000000474974513,16,10,"(48, 48, 48, 1)",16,1575,"(48, 48, 48, 1)",275.4418001174927
15,0.02328351140022278,0.10014408081769943,0.0010000000474974513,16,10,"(48, 48, 48, 1)",16,1575,"(48, 48, 48, 1)",272.7657754421234
16,0.023402785882353783,0.09207124263048172,0.0010000000474974513,16,10,"(48, 48, 48, 1)",16,1575,"(48, 48, 48, 1)",275.7926106452942
17,0.023577505722641945,0.08900126814842224,0.0010000000474974513,16,10,"(48, 48, 48, 1)",16,1575,"(48, 48, 48, 1)",276.8129451274872
18,0.02377946674823761,0.0895574688911438,0.0010000000474974513,16,10,"(48, 48, 48, 1)",16,1575,"(48, 48, 48, 1)",273.10098028182983
19,0.02150634303689003,0.08167146891355515,0.0010000000474974513,16,10,"(48, 48, 48, 1)",16,1575,"(48, 48, 48, 1)",275.8438837528229
20,0.021782537922263145,0.07907958328723907,0.0010000000474974513,16,10,"(48, 48, 48, 1)",16,1575,"(48, 48, 48, 1)",276.08125019073486
21,0.02131427265703678,0.07732216268777847,0.0010000000474974513,16,10,"(48, 48, 48, 1)",16,1575,"(48, 48, 48, 1)",275.77927350997925
22,0.021885281428694725,0.07476142048835754,0.0010000000474974513,16,10,"(48, 48, 48, 1)",16,1575,"(48, 48, 48, 1)",276.40791845321655
23,0.021495729684829712,0.07442454993724823,0.0010000000474974513,16,10,"(48, 48, 48, 1)",16,1575,"(48, 48, 48, 1)",276.26854968070984
24,0.02024986408650875,0.07424987852573395,0.0010000000474974513,16,10,"(48, 48, 48, 1)",16,1575,"(48, 48, 48, 1)",276.6123661994934
25,0.02057480253279209,0.06941647827625275,0.0010000000474974513,16,10,"(48, 48, 48, 1)",16,1575,"(48, 48, 48, 1)",276.80661725997925
26,0.0216022040694952,0.06935236603021622,0.0010000000474974513,16,10,"(48, 48, 48, 1)",16,1575,"(48, 48, 48, 1)",276.28129291534424
27,0.02002064324915409,0.06767680495977402,0.0010000000474974513,16,10,"(48, 48, 48, 1)",16,1575,"(48, 48, 48, 1)",276.92927861213684
28,0.020144488662481308,0.06126001849770546,0.0010000000474974513,16,10,"(48, 48, 48, 1)",16,1575,"(48, 48, 48, 1)",276.3681662082672
29,0.01906520687043667,0.06116705387830734,0.0010000000474974513,16,10,"(48, 48, 48, 1)",16,1575,"(48, 48, 48, 1)",277.02917885780334
30,0.020364919677376747,0.057760875672101974,0.0010000000474974513,16,10,"(48, 48, 48, 1)",16,1575,"(48, 48, 48, 1)",276.46585035324097
31,0.019737448543310165,0.05620342120528221,0.0007742636953480542,16,10,"(48, 48, 48, 1)",16,1575,"(48, 48, 48, 1)",276.63779616355896
32,0.020648565143346786,0.054829131811857224,0.0005994842504151165,16,10,"(48, 48, 48, 1)",16,1575,"(48, 48, 48, 1)",276.4245231151581
33,0.019353318959474564,0.053422871977090836,0.00046415888937190175,16,10,"(48, 48, 48, 1)",16,1575,"(48, 48, 48, 1)",278.8542766571045
34,0.020228618755936623,0.04911186173558235,0.00035938137443736196,16,10,"(48, 48, 48, 1)",16,1575,"(48, 48, 48, 1)",276.19741439819336
35,0.019740108400583267,0.04838832467794418,0.00027825593133457005,16,10,"(48, 48, 48, 1)",16,1575,"(48, 48, 48, 1)",276.492285490036
36,0.01896088384091854,0.04578123614192009,0.00021544346236623824,16,10,"(48, 48, 48, 1)",16,1575,"(48, 48, 48, 1)",276.92857122421265
37,0.01923627033829689,0.043690845370292664,0.00016681005945429206,16,10,"(48, 48, 48, 1)",16,1575,"(48, 48, 48, 1)",276.50075125694275
38,0.019569074735045433,0.04306390509009361,0.00012915497063659132,16,10,"(48, 48, 48, 1)",16,1575,"(48, 48, 48, 1)",276.9275221824646
39,0.01841851696372032,0.04163860157132149,9.999999747378752e-05,16,10,"(48, 48, 48, 1)",16,1575,"(48, 48, 48, 1)",276.97616505622864
40,0.018388424068689346,0.040421415120363235,9.999999747378752e-05,16,10,"(48, 48, 48, 1)",16,1575,"(48, 48, 48, 1)",276.4099063873291
41,0.02036283351480961,0.03797467052936554,0.0001128837902797386,16,10,"(48, 48, 48, 1)",16,1575,"(48, 48, 48, 1)",276.46549892425537
42,0.020459365099668503,0.03612575680017471,0.00012742749822791666,16,10,"(48, 48, 48, 1)",16,1575,"(48, 48, 48, 1)",277.4810914993286
43,0.01887735351920128,0.03570828214287758,0.00014384498354047537,16,10,"(48, 48, 48, 1)",16,1575,"(48, 48, 48, 1)",276.49264550209045
