class/average,accuracy,precision,recall,f1,roc-auc,jaccard,tp,fp,fn,tn,support,npred
matrix,0.9896730719921104,0.9929101139939605,0.9945747107631496,0.9937417152958983,0.9993381433574402,0.9875612756700094,332550270.0,2374579.0,1814023.0,68861128.0,334364293.0,334924849.0
fiber,0.9917063190335306,0.9776033251087569,0.9736327312382707,0.9756139882687486,0.9995948495268138,0.9523890184911094,67290308.0,1541606.0,1822311.0,334945775.0,69112619.0,68831914.0
porosity,0.9979666691321499,0.8521980624303874,0.7398671180846013,0.7920697370992039,0.9987116866804485,0.6557247230457496,1570803.0,272434.0,552285.0,403204478.0,2123088.0,1843237.0
macro,0.9931153533859303,0.9409038338443683,0.9026915200286739,0.9204751468879503,0.9992148931882342,0.8652250057356228,,,,,,
micro,0.9896730300788955,0.9896730300788955,0.9896730300788955,0.9896730300788955,,,401411381.0,4188619.0,4188619.0,807011381.0,,
