class/average,accuracy,precision,recall,f1,roc-auc,jaccard,tp,fp,fn,tn,support,npred
matrix,0.9897086809664695,0.9928611305584619,0.994667995245533,0.9937637415907636,0.9993403517185786,0.9876047829580394,332581461.0,2391327.0,1782832.0,68844380.0,334364293.0,334972788.0
fiber,0.9917831385601578,0.9782576540727252,0.9734125109627231,0.9758290683324953,0.9995950029112295,0.9527990281306835,67275088.0,1495228.0,1837531.0,334992153.0,69112619.0,68770316.0
porosity,0.9979254289940829,0.8451033337354381,0.7391445856224518,0.7885805571077673,0.9987446616158728,0.6509558367538262,1569269.0,287627.0,553819.0,403189285.0,2123088.0,1856896.0
macro,0.9931390828402367,0.9387407061222085,0.9024083639435693,0.9193911223436754,0.9992266720818938,0.8637865492808497,,,,,,
micro,0.989708624260355,0.989708624260355,0.989708624260355,0.989708624260355,,,401425818.0,4174182.0,4174182.0,807025818.0,,
