class/average,accuracy,precision,recall,f1,roc-auc,jaccard,tp,fp,fn,tn,support,npred
matrix,0.9891825567061144,0.992760344463165,0.9941275457903036,0.9934434747329396,0.9992623629848905,0.9869723654807745,332400754.0,2424016.0,1963539.0,68811691.0,334364293.0,334824770.0
fiber,0.9913261883629191,0.9752145907122417,0.9738468021303027,0.9745302164862605,0.9995505578214556,0.9503256284617805,67305103.0,1710582.0,1807516.0,334776799.0,69112619.0,69015685.0
porosity,0.9978562154832347,0.8562196476930115,0.7096064788647479,0.7760491398491693,0.9986235306082862,0.6340525303062696,1506557.0,252988.0,616531.0,403223924.0,2123088.0,1759545.0
macro,0.9927883201840894,0.9413981942894728,0.8925269422617848,0.9146742770227898,0.9991454838048774,0.8571168414162749,,,,,,
micro,0.9891824802761341,0.9891824802761341,0.9891824802761341,0.9891824802761341,,,401212414.0,4387586.0,4387586.0,806812414.0,,
