loss,val_loss,epochs
0.010054497979581356,0.2171110361814499,0
0.007312421686947346,0.2756403982639313,1
0.00550555344671011,0.318945974111557,2
0.005264586769044399,0.3796163499355316,3
0.005198513623327017,0.36983928084373474,4
0.004696493037045002,0.34296175837516785,5
0.004519007168710232,0.3619455397129059,6
0.004056819714605808,0.4396826922893524,7
0.004030858166515827,0.40267413854599,8
0.004310874734073877,0.39080554246902466,9
0.003995645325630903,0.4736159145832062,10
0.003614417277276516,0.2901777923107147,11
0.0034845636691898108,0.2593739926815033,12
0.003177099162712693,0.4276440143585205,13
0.003167477436363697,0.4092620015144348,14
0.00301547534763813,0.4073928892612457,15
0.003191024763509631,0.5611180663108826,16
0.0028791583608835936,0.4065554440021515,17
0.002877655439078808,0.6000346541404724,18
0.0028695729561150074,0.4773460328578949,19
0.002722258912399411,0.4296531677246094,20
0.0026191710494458675,0.416250616312027,21
0.0026735339779406786,0.4596920311450958,22
0.002697237068787217,0.4595131576061249,23
0.0025383103638887405,0.5794178247451782,24
0.0026659630239009857,0.45769932866096497,25
0.0026071255560964346,0.517067551612854,26
0.0025259184185415506,0.5194425582885742,27
0.0025897882878780365,0.5498000979423523,28
0.002414500107988715,0.5311034917831421,29
0.002339923521503806,0.5903438329696655,30
0.0023892256431281567,0.2591453790664673,31
0.002431563101708889,0.5939632654190063,32
0.0022847154177725315,0.5068816542625427,33
0.0022881855256855488,0.6396641731262207,34
0.0023645120672881603,0.5391986966133118,35
0.002338418969884515,0.5365306735038757,36
0.0022497992031276226,0.43142205476760864,37
0.0025632597971707582,0.5303890705108643,38
0.002095515374094248,0.5454763770103455,39
0.0020485923159867525,0.6151979565620422,40
0.0023261860478669405,0.5074023604393005,41
0.0020945232827216387,0.46813809871673584,42
0.002247810596600175,0.5022070407867432,43
0.0021746372804045677,0.51393723487854,44
0.002059400547295809,0.4833514392375946,45
0.0020478812512010336,0.5002169609069824,46
0.0022901566699147224,0.5457216501235962,47
0.002088373526930809,0.5219118595123291,48
0.0020876750349998474,0.5534212589263916,49
