class/average,accuracy,precision,recall,f1,roc-auc,jaccard,tp,fp,fn,tn,support,npred
matrix,0.9887167455621302,0.9918588004851512,0.9944755464663207,0.9931654498586772,0.9991945393969972,0.9864236877044723,332517113.0,2729308.0,1847180.0,68506399.0,334364293.0,335246421.0
fiber,0.991165032051282,0.9777751144451279,0.9702031549404893,0.9739744182630514,0.9995354950622436,0.949269136754095,67053281.0,1524125.0,2059338.0,334963256.0,69112619.0,68577406.0
porosity,0.9975516888560158,0.8181145642907532,0.6844337116502001,0.7453273838299104,0.9982577448665249,0.5940413253817839,1453113.0,323060.0,669975.0,403153852.0,2123088.0,1776173.0
macro,0.992477822156476,0.9292494930736774,0.8830374710190033,0.9041557506505464,0.9989959264419218,0.8432447166134504,,,,,,
micro,0.988716733234714,0.988716733234714,0.988716733234714,0.988716733234714,,,401023507.0,4576493.0,4576493.0,806623507.0,,
