class/average,accuracy,precision,recall,f1,roc-auc,jaccard,tp,fp,fn,tn,support,npred
matrix,0.9900637006903353,0.9932857028957273,0.9946704476605102,0.9939775929943261,0.9993825948339622,0.9880272905181129,332582281.0,2248151.0,1782012.0,68987556.0,334364293.0,334830432.0
fiber,0.9919867973372781,0.9773766575461612,0.9755542182535435,0.9764645875663828,0.9996203747138044,0.9540115326783699,67423107.0,1560643.0,1689512.0,334926738.0,69112619.0,68983750.0
porosity,0.9980768836291913,0.8760383196943922,0.7368724235641669,0.8004515841516783,0.9987406197889248,0.667294102994249,1564445.0,221373.0,558643.0,403255539.0,2123088.0,1785818.0
macro,0.9933757938856016,0.9489002267120936,0.9023656964927401,0.9236312549041291,0.9992478631122305,0.8697776420635771,,,,,,
micro,0.9900636908284024,0.9900636908284024,0.9900636908284024,0.9900636908284024,,,401569833.0,4030167.0,4030167.0,807169833.0,,
