epoch,loss,val_loss
0,0.015771212056279182,0.015133577398955822
1,0.015605108812451363,0.015431821346282959
2,0.015568592585623264,0.015069957822561264
3,0.015501470305025578,0.015107421204447746
4,0.015553152188658714,0.015282485634088516
5,0.015452541410923004,0.01492020022124052
6,0.01530575379729271,0.01516429241746664
7,0.015386616811156273,0.014830205589532852
8,0.015235130675137043,0.015507999807596207
9,0.015365724451839924,0.014762058854103088
10,0.015259559266269207,0.014950363896787167
11,0.015244580805301666,0.014828898943960667
12,0.015143501572310925,0.014637989923357964
13,0.015125254169106483,0.014674794860184193
14,0.015115058049559593,0.014649161137640476
15,0.015111076645553112,0.014672585763037205
16,0.015087519772350788,0.014533142559230328
17,0.015035683289170265,0.014620944857597351
18,0.01503633614629507,0.014728758484125137
19,0.01499055977910757,0.014617252163589
20,0.014952192083001137,0.014698969200253487
21,0.015035663731396198,0.014425814151763916
22,0.014957866631448269,0.014793576672673225
23,0.01490576658397913,0.014414112083613873
24,0.014764533378183842,0.014555292204022408
25,0.014799649827182293,0.01445703487843275
26,0.014805827289819717,0.014316720888018608
27,0.014736413024365902,0.014782737009227276
28,0.014675321988761425,0.01432888489216566
29,0.014711171388626099,0.014390182681381702
