class/average,accuracy,precision,recall,f1,roc-auc,jaccard,tp,fp,fn,tn,support,npred
matrix,0.9903215557199211,0.9935723586312246,0.994694481327287,0.9941331033317818,0.9994278409420524,0.9883346460895543,332590317.0,2151601.0,1773976.0,69084106.0,334364293.0,334741918.0
fiber,0.9921923150887574,0.9785938930656402,0.975518002001921,0.9770535267139033,0.9996358940833011,0.9551365122509611,67420604.0,1474782.0,1692015.0,335012599.0,69112619.0,68895386.0
porosity,0.9981292209072978,0.8475576451982375,0.7835275786966909,0.814285826171917,0.9991290285025517,0.6867471471164016,1663498.0,299198.0,459590.0,403177714.0,2123088.0,1962696.0
macro,0.9935476972386588,0.9399079656317008,0.9179133540086329,0.9284908187392008,0.9993975878426351,0.8767394351523058,,,,,,
micro,0.9903215458579882,0.9903215458579882,0.9903215458579882,0.9903215458579882,,,401674419.0,3925581.0,3925581.0,807274419.0,,
