class/average,accuracy,precision,recall,f1,roc-auc,jaccard,tp,fp,fn,tn,support,npred
matrix,0.9897548668639053,0.9932248852248565,0.9943549833534407,0.9937896130135611,0.9993334635717941,0.987655887741253,332476801.0,2267934.0,1887492.0,68967773.0,334364293.0,334744735.0
fiber,0.9917536143984221,0.9765120339133877,0.9750575651025466,0.9757842575135841,0.9995929320892378,0.9527135905417171,67388782.0,1620897.0,1723837.0,334866484.0,69112619.0,69009679.0
porosity,0.9980011785009862,0.8555418170705673,0.7437166994491043,0.7957196786634528,0.9987489094171654,0.660742905588907,1578976.0,266610.0,544112.0,403210302.0,2123088.0,1845586.0
macro,0.9931698865877713,0.9417595787362706,0.9043764159683639,0.9217645163968659,0.9992251016927325,0.8670374612906256,,,,,,
micro,0.9897548298816568,0.9897548298816568,0.9897548298816568,0.9897548298816568,,,401444559.0,4155441.0,4155441.0,807044559.0,,
