class/average,accuracy,precision,recall,f1,roc-auc,jaccard,tp,fp,fn,tn,support,npred
matrix,0.9886687573964497,0.9925971170252055,0.9936655078178458,0.9931310250831668,0.9991862919476138,0.9863557720260463,332246265.0,2477924.0,2118028.0,68757783.0,334364293.0,334724189.0
fiber,0.991170966469428,0.9745331318690255,0.9736284339043786,0.9740805728223979,0.9995309208036612,0.9494708327165443,67290011.0,1758448.0,1822608.0,334728933.0,69112619.0,69048459.0
porosity,0.9974977712031559,0.8032212731865563,0.6913363930275146,0.7430908962039672,0.9981734747372644,0.591204959817487,1467768.0,359584.0,655320.0,403117328.0,2123088.0,1827352.0
macro,0.9924458316896777,0.9234505073602625,0.8862101115832464,0.9034341647031773,0.9989635624961798,0.8423438548533593,,,,,,
micro,0.9886687475345167,0.9886687475345167,0.9886687475345167,0.9886687475345167,,,401004044.0,4595956.0,4595956.0,806604044.0,,
