epoch,loss,val_loss,lr,train.batch_size,train.epoch_size,train.crop_shape,val.batch_size,val.epoch_size,val.crop_shape,seconds
0,0.676040530204773,0.6727279424667358,9.999999747378752e-06,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",299.3948941230774
1,0.6699317693710327,0.6663897037506104,1.2328467164479662e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",107.12487196922302
2,0.6624507904052734,0.6572474241256714,1.5199110748653766e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",108.04479956626892
3,0.6469537019729614,0.6258387565612793,1.8738173821475357e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",107.59997820854187
4,0.5552099347114563,0.3993716537952423,2.3101296392269433e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",107.40853071212769
5,0.32231712341308594,0.30492833256721497,2.8480359105742536e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",107.42104887962341
6,0.2994456887245178,0.30266067385673523,3.51119160768576e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",107.7095160484314
7,0.29788440465927124,0.30255600810050964,4.328761133365333e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",107.50456881523132
8,0.29200926423072815,0.3025474548339844,5.3366991778602824e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",107.99139022827148
9,0.29927363991737366,0.30254366993904114,6.579331966349855e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",107.56958365440369
10,0.2974833846092224,0.3025416433811188,8.111308125080541e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",108.18361496925354
11,0.2998286187648773,0.3025398850440979,9.999999747378752e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",107.67443990707397
12,0.29630976915359497,0.3025386929512024,9.999999747378752e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",107.761714220047
13,0.29752278327941895,0.30253762006759644,9.426684846403077e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",107.69998264312744
14,0.298367440700531,0.30253708362579346,8.886238356353715e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",107.44131422042847
15,0.295584112405777,0.302536278963089,8.376776531804353e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",107.53206157684326
16,0.297244131565094,0.3025355637073517,7.896522583905607e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",107.59801650047302
17,0.294450968503952,0.30253422260284424,7.443803042406216e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",107.75733089447021
18,0.2998151183128357,0.3025324046611786,7.01703829690814e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",106.91282868385315
19,0.29612722992897034,0.30252933502197266,6.614740414079279e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",107.38159275054932
20,0.295433908700943,0.3025199770927429,6.235507316887379e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",107.20635271072388
21,0.29885149002075195,0.30251166224479675,5.8780162362381816e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",107.49557399749756
22,0.2989038825035095,0.3025084435939789,5.541020436794497e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",106.95737528800964
23,0.29903218150138855,0.3025064468383789,5.223345215199515e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",107.19914674758911
24,0.2977776527404785,0.3025033473968506,4.9238828069064766e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",107.00274872779846
25,0.29378634691238403,0.3025016188621521,4.641588748199865e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",106.92771339416504
