class/average,accuracy,precision,recall,f1,roc-auc,jaccard,tp,fp,fn,tn,support,npred
exterior,0.9995385488466677,0.999232488598457,0.9992522730259435,0.9992423807142702,0.9999909660929988,0.9984859085334358,5147761.0,3954.0,3852.0,11760633.0,5151613.0,5151715.0
inside,0.9974210520093165,0.9965325825800616,0.9996712687012286,0.9980994581194647,0.9977738286950949,0.9962061266541126,11455440.0,39859.0,3767.0,5417134.0,11459207.0,11495299.0
defect,0.9993417552405387,0.9822316168002794,0.976539676090931,0.979377376417053,0.9999320736913301,0.9595881511805994,264403.0,4783.0,6352.0,16640662.0,270755.0,269186.0
porosity,0.9998562324872016,,0.0,0.0,0.7590728080020137,0.0,0.0,0.0,2432.0,16913768.0,2432.0,0.0
crack,0.9980969130182902,,0.0,0.0,0.7155090111357898,0.0,0.0,0.0,32193.0,16884007.0,32193.0,0.0
macro,0.9988509003204029,,0.5950926435636206,0.5953438430501576,0.8944557375234454,0.5908560372736296,,,,,,
micro,0.9971272508010073,0.9971272508010073,0.9971272508010073,0.9971272508010073,,,16867604.0,48596.0,48596.0,67616204.0,,
