epoch,loss,val_loss,lr,train.batch_size,train.epoch_size,train.crop_shape,val.batch_size,val.epoch_size,val.crop_shape,seconds
0,0.6665312647819519,0.6286880373954773,9.999999747378752e-06,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",79.95056414604187
1,0.6209335923194885,0.574310839176178,1.1787686162278987e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",77.43857097625732
2,0.5761637091636658,0.5291274785995483,1.3894955372961704e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.43972897529602
3,0.5226168632507324,0.5160244107246399,1.6378937289118767e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.7660071849823
4,0.4648590683937073,0.5140478610992432,1.9306977264932357e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.37453603744507
5,0.4018528461456299,0.5090429782867432,2.275845872645732e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.45757126808167
6,0.34825485944747925,0.46872568130493164,2.682695776456967e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.60919952392578
7,0.30314555764198303,0.42123767733573914,3.162277789670043e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.0969786643982
8,0.26390495896339417,0.3789069652557373,3.7275938666425645e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.18691492080688
9,0.22886720299720764,0.35934603214263916,4.393970448290929e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.29221940040588
10,0.19974827766418457,0.3464389145374298,5.179474828764796e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.22145128250122
11,0.17378027737140656,0.33561044931411743,6.105402280809358e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",77.7557168006897
12,0.1502436399459839,0.33118921518325806,7.196857040980831e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.0721423625946
13,0.13302837312221527,0.3234480321407318,8.483428973704576e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",77.78304839134216
14,0.11616180092096329,0.3064018189907074,9.999999747378752e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",77.79946732521057
15,0.10336694866418839,0.30097973346710205,0.00011787686526076868,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.23554849624634
16,0.09151040017604828,0.2929688096046448,0.00013894954463467002,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",77.90071630477905
17,0.08288063853979111,0.28935354948043823,0.00016378937289118767,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",77.8635082244873
18,0.07426895946264267,0.2911348044872284,0.00019306977628730237,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",77.11036849021912
19,0.06763647496700287,0.28110820055007935,0.000227584590902552,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.08871650695801
20,0.06147506833076477,0.27646249532699585,0.00026826959219761193,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",77.71455144882202
21,0.056397102773189545,0.2576823830604553,0.0003162277571391314,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.32945728302002
22,0.05189881473779678,0.25723397731781006,0.000372759357560426,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.14678502082825
23,0.04810018092393875,0.23496675491333008,0.00043939705938100815,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",77.97878360748291
24,0.04389939457178116,0.23460927605628967,0.0005179474828764796,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.60342788696289
25,0.040248699486255646,0.23077458143234253,0.0006105402135290205,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.08403277397156
26,0.03735598176717758,0.17542852461338043,0.0007196856895461679,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.08397150039673
27,0.03486588969826698,0.17493683099746704,0.0008483428973704576,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.43708729743958
28,0.03181036189198494,0.15491485595703125,0.0010000000474974513,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.00261998176575
29,0.02961217239499092,0.1302509903907776,0.0010000000474974513,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.91024565696716
30,0.02797587215900421,0.10960802435874939,0.0008483428973704576,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",77.8090193271637
31,0.02649749256670475,0.09962274879217148,0.0007196856895461679,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.40727353096008
32,0.026130840182304382,0.08809880912303925,0.0006105402135290205,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",77.94187498092651
33,0.025379445403814316,0.09182744473218918,0.0005179474828764796,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",77.52651453018188
34,0.025370318442583084,0.07829268276691437,0.00043939705938100815,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.1055178642273
35,0.02479786053299904,0.07151826471090317,0.000372759357560426,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.35076379776001
36,0.02389821782708168,0.07380563020706177,0.0003162277571391314,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",77.4108452796936
37,0.02404368482530117,0.0697859600186348,0.00026826959219761193,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.59769749641418
38,0.023844534531235695,0.0676293820142746,0.000227584590902552,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",77.74032378196716
39,0.02399720810353756,0.06313508003950119,0.00019306977628730237,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.55474138259888
40,0.023523736745119095,0.05899748578667641,0.00016378937289118767,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.14823913574219
41,0.023656729608774185,0.05647958815097809,0.00013894954463467002,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.51935744285583
42,0.023510679602622986,0.05414559692144394,0.00011787686526076868,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.18150043487549
43,0.02351744845509529,0.051710084080696106,9.999999747378752e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.29101514816284
44,0.02321457490324974,0.04872709885239601,8.483428973704576e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.41633534431458
45,0.02311023138463497,0.046198487281799316,7.196857040980831e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.67451477050781
46,0.02333497442305088,0.044387780129909515,6.105402280809358e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.18571877479553
47,0.023409012705087662,0.04237483814358711,5.179474828764796e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.80718183517456
48,0.023172860965132713,0.04027608409523964,4.393970448290929e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.50683784484863
49,0.02320058085024357,0.03846917301416397,3.7275938666425645e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",79.2473657131195
50,0.02285398170351982,0.03686736896634102,3.162277789670043e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.97312760353088
51,0.022940590977668762,0.03556961566209793,2.682695776456967e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",79.58876824378967
52,0.023022910580039024,0.03445444256067276,2.275845872645732e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.79692935943604
53,0.022952407598495483,0.03333250805735588,1.9306977264932357e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.58347511291504
54,0.023113196715712547,0.03234949707984924,1.6378937289118767e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",79.49505472183228
55,0.022968828678131104,0.03130244463682175,1.3894955372961704e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.68338990211487
56,0.023002859205007553,0.03030550666153431,1.1787686162278987e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.7733781337738
57,0.022716259583830833,0.029451483860611916,9.999999747378752e-06,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.59563088417053
58,0.023075297474861145,0.02876998297870159,9.999999747378752e-06,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.48684334754944
59,0.02298828959465027,0.02808215469121933,1.128837902797386e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",79.01139402389526
60,0.023151200264692307,0.027530107647180557,1.2742750186589547e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.34419631958008
61,0.023248231038451195,0.02695535682141781,1.4384499081643298e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",79.14032292366028
62,0.02297656238079071,0.026421016082167625,1.6237767340498976e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.55524230003357
63,0.023158028721809387,0.026061169803142548,1.8329807062400505e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.5864667892456
64,0.022881677374243736,0.02572994865477085,2.069138099614065e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.97724723815918
65,0.02248145081102848,0.02532973326742649,2.335721546842251e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.34185791015625
66,0.022700274363160133,0.025058209896087646,2.6366509700892493e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.39351987838745
67,0.02303737960755825,0.0247068852186203,2.976351424877066e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",79.12150478363037
68,0.02232411503791809,0.024455219507217407,3.359818219905719e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.63232231140137
69,0.02308063581585884,0.024366319179534912,3.79269004042726e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.26626920700073
70,0.022232934832572937,0.02415698766708374,4.281332439859398e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",79.05726623535156
71,0.022930894047021866,0.02393432892858982,4.8329300625482574e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.74609589576721
72,0.02295299805700779,0.023650167509913445,5.455594873637892e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.55956935882568
73,0.022818569093942642,0.023699689656496048,6.158481846796349e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.31443524360657
74,0.023251783102750778,0.02340729720890522,6.951927935006097e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.6438455581665
75,0.022354885935783386,0.02332329750061035,7.8475997725036e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.38152718544006
76,0.022494107484817505,0.02341117337346077,8.85866757016629e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.46809601783752
77,0.0225931815803051,0.023068662732839584,9.999999747378752e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.31915593147278
78,0.0222826786339283,0.02304087020456791,0.0001128837902797386,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.59511089324951
79,0.022581124678254128,0.02279566042125225,0.00012742749822791666,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",79.19590139389038
80,0.022289764136075974,0.022695578634738922,0.00014384498354047537,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.70916700363159
81,0.02196483686566353,0.022606486454606056,0.00016237767704296857,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.54630517959595
82,0.02160463109612465,0.022409599274396896,0.00018329807789996266,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",79.1976261138916
83,0.021567195653915405,0.022440312430262566,0.00020691381359938532,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.40597629547119
84,0.02142014540731907,0.022398967295885086,0.0002335721510462463,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",79.0814299583435
85,0.021428097039461136,0.022078273817896843,0.00026366510428488255,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.54124307632446
86,0.021421927958726883,0.022031400352716446,0.00029763515340164304,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",79.52179455757141
87,0.020989641547203064,0.021806668490171432,0.00033598183654248714,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.83773279190063
88,0.020895104855298996,0.021551160141825676,0.0003792690113186836,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.62384271621704
89,0.020895550027489662,0.022172648459672928,0.00042813323670998216,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.47030663490295
90,0.02044733241200447,0.023155733942985535,0.0004832930280826986,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",77.80286192893982
91,0.020277952775359154,0.0220840722322464,0.0005455594509840012,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",77.70294094085693
92,0.0204581581056118,0.022259125486016273,0.0006158482283353806,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",77.12654709815979
93,0.0199010968208313,0.022567616775631905,0.0006951927789486945,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.75750637054443
94,0.019785255193710327,0.023426271975040436,0.0007847599918022752,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",77.57249903678894
95,0.019448483362793922,0.022702950984239578,0.0008858668152242899,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.12027335166931
96,0.019418293610215187,0.023766854777932167,0.0010000000474974513,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",77.87626314163208
97,0.01882172003388405,0.028019996359944344,0.0010000000474974513,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.81643438339233
98,0.01845412515103817,0.0255177840590477,0.0009426684700883925,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",77.74776411056519
99,0.018612399697303772,0.03132385388016701,0.0008886238210834563,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",77.82910418510437
100,0.018680671229958534,0.029222294688224792,0.0008376776240766048,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.64177250862122
101,0.018127381801605225,0.02588766999542713,0.0007896522874943912,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.06594848632812
102,0.018496815115213394,0.02563948929309845,0.0007443802896887064,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",77.80463123321533
103,0.01787635125219822,0.02541183866560459,0.000701703829690814,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.24219107627869
104,0.0180809386074543,0.02405533194541931,0.0006614740705117583,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.67078614234924
105,0.017872881144285202,0.023641861975193024,0.0006235507316887379,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.22344398498535
106,0.0174737386405468,0.022212620824575424,0.0005878016236238182,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",77.3950879573822
107,0.01768501102924347,0.022258233278989792,0.0005541020072996616,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.11398077011108
108,0.017635438591241837,0.020693926140666008,0.0005223345360718668,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",79.72635173797607
109,0.0173992607742548,0.0213081743568182,0.0004923882661387324,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",77.48020815849304
110,0.017125030979514122,0.020249951630830765,0.00046415888937190175,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",79.13763165473938
111,0.017152493819594383,0.019696922972798347,0.00043754794751293957,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",80.52027988433838
112,0.017420724034309387,0.01994270645081997,0.0004124626284465194,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",77.88831782341003
113,0.017890319228172302,0.020305892452597618,0.00038881550426594913,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",77.46437406539917
114,0.017286479473114014,0.018941542133688927,0.0003665241238195449,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.4555823802948
115,0.017163265496492386,0.019361967220902443,0.0003455107216723263,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",77.38351273536682
116,0.01686319336295128,0.019442616030573845,0.00032570207258686423,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.86131072044373
117,0.01729179359972477,0.018782678991556168,0.0003070290549658239,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",79.07077836990356
118,0.016989633440971375,0.01970532536506653,0.0002894266217481345,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",77.65490627288818
119,0.01736428402364254,0.018514012917876244,0.0002728333347477019,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.45332479476929
120,0.016909074038267136,0.01827911287546158,0.000257191393757239,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",80.24980306625366
121,0.016683343797922134,0.018412720412015915,0.00024244619999080896,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.10138702392578
122,0.017232120037078857,0.018566779792308807,0.0002285463851876557,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",77.84797143936157
123,0.01663699373602867,0.018222089856863022,0.00021544346236623824,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",79.02689409255981
124,0.016699964180588722,0.018124286085367203,0.00020309176761657,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",81.86027956008911
125,0.01696809008717537,0.01861189864575863,0.00019144819816574454,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.09372162818909
126,0.017008015885949135,0.017973927780985832,0.0001804721832741052,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",79.17023634910583
127,0.01708095706999302,0.018224284052848816,0.00017012542230077088,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",77.92500877380371
128,0.016958411782979965,0.01800045371055603,0.00016037187015172094,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.61097264289856
129,0.01705102249979973,0.01791064627468586,0.00015117750444915146,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.8790340423584
130,0.016781726852059364,0.017905162647366524,0.00014251026732381433,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.6304383277893
131,0.016749897971749306,0.017783645540475845,0.00013433993444778025,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.98935651779175
132,0.01685817912220955,0.017782015725970268,0.00012663801317103207,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.4790256023407
133,0.01691240631043911,0.017852846533060074,0.00011937766248593107,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",79.1496729850769
134,0.01668904721736908,0.01764192059636116,0.00011253355478402227,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.56955218315125
135,0.016941413283348083,0.01775510236620903,0.00010608183220028877,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.08094310760498
136,0.016770508140325546,0.017718004062771797,9.999999747378752e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",77.99447870254517
137,0.017029419541358948,0.01767568290233612,9.999999747378752e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",77.39818072319031
138,0.016753265634179115,0.01767040230333805,9.999999747378752e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.88666558265686
139,0.016587018966674805,0.017606861889362335,9.999999747378752e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",79.09672904014587
140,0.01692971959710121,0.017719721421599388,9.999999747378752e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",77.68278956413269
141,0.016579562798142433,0.01755305379629135,9.999999747378752e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.5340564250946
142,0.016787618398666382,0.017564818263053894,9.999999747378752e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.64901089668274
143,0.016943398863077164,0.01751221902668476,9.999999747378752e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.62371683120728
144,0.016607915982604027,0.017530232667922974,9.999999747378752e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",77.72227382659912
145,0.01681329868733883,0.017555274069309235,9.999999747378752e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",77.95114016532898
146,0.016858961433172226,0.01754196174442768,9.999999747378752e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",77.32294178009033
147,0.01682772859930992,0.017519261687994003,9.999999747378752e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",79.18738579750061
148,0.01663116179406643,0.017646770924329758,9.999999747378752e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.23271775245667
149,0.016907546669244766,0.017519928514957428,9.999999747378752e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",77.64283204078674
150,0.016412129625678062,0.017478883266448975,9.999999747378752e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.52044296264648
151,0.017080947756767273,0.01753178983926773,9.999999747378752e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",77.67477226257324
152,0.01700085960328579,0.01754058338701725,9.999999747378752e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",79.02871036529541
153,0.016723033040761948,0.017479654401540756,9.999999747378752e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",77.4227294921875
154,0.01675129309296608,0.017455294728279114,9.999999747378752e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.71304845809937
155,0.01681455597281456,0.017439359799027443,9.999999747378752e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.90955758094788
156,0.01695786975324154,0.017454227432608604,9.999999747378752e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",78.09930634498596
157,0.016661634668707848,0.017440592870116234,9.999999747378752e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",79.205650806427
158,0.017004048451781273,0.017432542517781258,9.999999747378752e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",79.35253357887268
