epoch,loss,val_loss,lr,train.batch_size,train.epoch_size,train.crop_shape,val.batch_size,val.epoch_size,val.crop_shape,seconds
0,0.3532246947288513,0.6881732940673828,9.999999747378752e-05,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",395.4635109901428
1,0.14784735441207886,0.6701252460479736,0.00012915497063659132,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",64.42275071144104
2,0.07774238288402557,0.6275529265403748,0.00016681005945429206,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",64.76807737350464
3,0.048210229724645615,0.5532755255699158,0.00021544346236623824,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",64.65212202072144
4,0.03871876373887062,0.4592072665691376,0.00027825593133457005,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",65.12552833557129
5,0.037006624042987823,0.34623539447784424,0.00035938137443736196,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",64.89502835273743
6,0.03043857216835022,0.2739963233470917,0.00046415888937190175,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",64.14353060722351
7,0.028571048751473427,0.21651315689086914,0.0005994842504151165,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",65.46062994003296
8,0.02863730490207672,0.17564743757247925,0.0007742636953480542,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",64.5846061706543
9,0.025923466309905052,0.1523185670375824,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",64.79296374320984
10,0.024657001718878746,0.1457878053188324,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",64.53299760818481
11,0.023807749152183533,0.14006026089191437,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",65.1632022857666
12,0.021884659305214882,0.14327402412891388,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",59.81096887588501
13,0.02163320779800415,0.1388700306415558,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",64.86164236068726
14,0.022565778344869614,0.12984973192214966,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",64.78842210769653
15,0.02140820398926735,0.11077983677387238,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",64.63458204269409
16,0.020110439509153366,0.10527657717466354,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",64.63901662826538
17,0.01933424547314644,0.10695767402648926,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",60.433704137802124
18,0.01979210413992405,0.10802491754293442,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",59.77861285209656
19,0.01959649659693241,0.10607411712408066,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",60.83434081077576
20,0.018499067053198814,0.10011295229196548,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",64.66347336769104
21,0.018078932538628578,0.09548898786306381,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",65.3232696056366
22,0.01841919682919979,0.09321071207523346,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",64.47502636909485
23,0.018175875768065453,0.0846291184425354,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",64.91911244392395
24,0.018797632306814194,0.0829828754067421,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",65.0324969291687
25,0.018459420651197433,0.0739525854587555,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",64.76655507087708
26,0.017853355035185814,0.06858082860708237,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",64.8005940914154
27,0.018472442403435707,0.06611716747283936,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",64.54447412490845
28,0.0169520266354084,0.0638199970126152,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",64.6549015045166
29,0.017617762088775635,0.05779293179512024,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",64.17440676689148
30,0.01726819947361946,0.0526728518307209,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",64.91901326179504
31,0.017483234405517578,0.05147058516740799,0.0007742636953480542,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",64.75915002822876
32,0.01702221669256687,0.049670010805130005,0.0005994842504151165,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",64.98730611801147
33,0.01709839142858982,0.046696897596120834,0.00046415888937190175,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",64.68881893157959
34,0.01698930934071541,0.04508305713534355,0.00035938137443736196,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",65.05903196334839
35,0.016998495906591415,0.04372558370232582,0.00027825593133457005,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",64.66877245903015
36,0.016790568828582764,0.042561277747154236,0.00021544346236623824,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",65.23323273658752
37,0.01771426759660244,0.04026574268937111,0.00016681005945429206,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",64.98971557617188
38,0.016701918095350266,0.03892053663730621,0.00012915497063659132,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",65.00073075294495
39,0.017506014555692673,0.037060920149087906,9.999999747378752e-05,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",64.39245319366455
40,0.016913676634430885,0.03563777357339859,9.999999747378752e-05,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",64.98334264755249
41,0.016373660415410995,0.033828724175691605,0.0001128837902797386,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",64.84608435630798
42,0.017207438126206398,0.03209064155817032,0.00012742749822791666,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",64.0691270828247
43,0.017094824463129044,0.03225460648536682,0.00014384498354047537,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",60.6811797618866
44,0.016268495470285416,0.03091968223452568,0.00016237767704296857,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",63.87290644645691
45,0.017162825912237167,0.028510335832834244,0.00018329807789996266,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",64.78616142272949
46,0.017266983166337013,0.027804432436823845,0.00020691381359938532,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",64.32004165649414
47,0.017326215282082558,0.028015289455652237,0.0002335721510462463,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",60.801666498184204
48,0.016951078549027443,0.02731422334909439,0.00026366510428488255,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",64.06284046173096
49,0.01713499054312706,0.026264576241374016,0.00029763515340164304,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",64.0810821056366
50,0.017352502793073654,0.024507882073521614,0.00033598183654248714,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",65.0159239768982
51,0.0174585971981287,0.02403191290795803,0.0003792690113186836,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",64.9982259273529
52,0.0165809728205204,0.02413228712975979,0.00042813323670998216,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",60.88001799583435
